preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
hátra,van,Nem van hátra,Nem hátravan,Nem van hátra a hely,Nem hátravan a hely,Nem azután van hátra a hely,Nem azután hátravan a hely,Nem azután túl van hátra a hely,Nem azután túl hátravan a hely
tovább,megy,Nem megy tovább,Nem továbbmegy,Nem megy tovább a vonat,Nem továbbmegy a vonat,Nem azonnal megy tovább a vonat,Nem azonnal továbbmegy a vonat,Nem azonnal túl megy tovább a vonat,Nem azonnal túl továbbmegy a vonat
tovább,adja,Nem adja tovább,Nem továbbadja,Nem adja tovább az üzenetet,Nem továbbadja az üzenetet,Nem bármikor adja tovább az üzenetet,Nem bármikor továbbadja az üzenetet,Nem bármikor túl adja tovább az üzenetet,Nem bármikor túl továbbadja az üzenetet
tovább,viszi,Nem viszi tovább,Nem továbbviszi,Nem viszi tovább a hagyományt,Nem továbbviszi a hagyományt,Nem mindjárt viszi tovább a hagyományt,Nem mindjárt továbbviszi a hagyományt,Nem mindjárt túl viszi tovább a hagyományt,Nem mindjárt túl továbbviszi a hagyományt
tovább,jut,Nem jut tovább,Nem továbbjut,Nem jut tovább a csapat,Nem továbbjut a csapat,Nem azóta jut tovább a csapat,Nem azóta továbbjut a csapat,Nem azóta túl jut tovább a csapat,Nem azóta túl továbbjut a csapat
tovább,halad,Nem halad tovább,Nem továbbhalad,Nem halad tovább a forgalom,Nem továbbhalad a forgalom,Nem amiatt halad tovább a forgalom,Nem amiatt továbbhalad a forgalom,Nem amiatt túl halad tovább a forgalom,Nem amiatt túl továbbhalad a forgalom
tovább,tanul,Nem tanul tovább,Nem továbbtanul,Nem tanul tovább a diák,Nem továbbtanul a diák,Nem igazán tanul tovább a diák,Nem igazán továbbtanul a diák,Nem igazán túl tanul tovább a diák,Nem igazán túl továbbtanul a diák
tovább,dolgozik,Nem dolgozik tovább,Nem továbbdolgozik,Nem dolgozik tovább a munkás,Nem továbbdolgozik a munkás,Nem mindenképpen dolgozik tovább a munkás,Nem mindenképpen továbbdolgozik a munkás,Nem mindenképpen túl dolgozik tovább a munkás,Nem mindenképpen túl továbbdolgozik a munkás
tovább,él,Nem él tovább,Nem továbbél,Nem él tovább a beteg,Nem továbbél a beteg,Nem mindig él tovább a beteg,Nem mindig továbbél a beteg,Nem mindig túl él tovább a beteg,Nem mindig túl továbbél a beteg
tovább,szól,Nem szól tovább,Nem továbbszól,Nem szól tovább a telefon,Nem továbbszól a telefon,Nem okvetlenül szól tovább a telefon,Nem okvetlenül továbbszól a telefon,Nem okvetlenül túl szól tovább a telefon,Nem okvetlenül túl továbbszól a telefon
újra,értelmezi,Nem értelmezi újra,Nem újraértelmezi,Nem értelmezi újra a szöveget,Nem újraértelmezi a szöveget,Nem igazán értelmezi újra a szöveget,Nem igazán újraértelmezi a szöveget,Nem igazán túl értelmezi újra a szöveget,Nem igazán túl újraértelmezi a szöveget
újra,jön,Nem jön újra,Nem újrajön,Nem jön újra a vendég,Nem újrajön a vendég,Nem mindenáron jön újra a vendég,Nem mindenáron újrajön a vendég,Nem mindenáron túl jön újra a vendég,Nem mindenáron túl újrajön a vendég
újra,megy,Nem megy újra,Nem újramegy,Nem megy újra a boltba,Nem újramegy a boltba,Nem amiatt megy újra a boltba,Nem amiatt újramegy a boltba,Nem amiatt túl megy újra a boltba,Nem amiatt túl újramegy a boltba
újra,kezdi,Nem kezdi újra,Nem újrakezdi,Nem kezdi újra a feladatot,Nem újrakezdi a feladatot,Nem mindig kezdi újra a feladatot,Nem mindig újrakezdi a feladatot,Nem mindig túl kezdi újra a feladatot,Nem mindig túl újrakezdi a feladatot
újra,látja,Nem látja újra,Nem újrálátja,Nem látja újra a filmet,Nem újrálátja a filmet,Nem mindenesetre látja újra a filmet,Nem mindenesetre újrálátja a filmet,Nem mindenesetre túl látja újra a filmet,Nem mindenesetre túl újrálátja a filmet
újra,hallja,Nem hallja újra,Nem újrahallja,Nem hallja újra a zenét,Nem újrahallja a zenét,Nem este hallja újra a zenét,Nem este újrahallja a zenét,Nem este túl hallja újra a zenét,Nem este túl újrahallja a zenét
újra,érzi,Nem érzi újra,Nem újraérzi,Nem érzi újra a fájdalmat,Nem újraérzi a fájdalmat,Nem emiatt érzi újra a fájdalmat,Nem emiatt újraérzi a fájdalmat,Nem emiatt túl érzi újra a fájdalmat,Nem emiatt túl újraérzi a fájdalmat
újra,építi,Nem építi újra,Nem újraépíti,Nem építi újra a házat,Nem újraépíti a házat,Nem hiába építi újra a házat,Nem hiába újraépíti a házat,Nem hiába túl építi újra a házat,Nem hiába túl újraépíti a házat
újra,írja,Nem írja újra,Nem újraírja,Nem írja újra a levelet,Nem újraírja a levelet,Nem először írja újra a levelet,Nem először újraírja a levelet,Nem először túl írja újra a levelet,Nem először túl újraírja a levelet
jóvá,teszi,Nem teszi jóvá,Nem jóváteszi,Nem teszi jóvá a hibát,Nem jóváteszi a hibát,Nem azután teszi jóvá a hibát,Nem azután jóváteszi a hibát,Nem azután túl teszi jóvá a hibát,Nem azután túl jóváteszi a hibát
jóvá,javítja,Nem javítja jóvá,Nem jóvájavítja,Nem javítja jóvá a kárt,Nem jóvájavítja a kárt,Nem mindenesetre javítja jóvá a kárt,Nem mindenesetre jóvájavítja a kárt,Nem mindenesetre túl javítja jóvá a kárt,Nem mindenesetre túl jóvájavítja a kárt
jóvá,módosítja,Nem módosítja jóvá,Nem jóvámódosítja,Nem módosítja jóvá a szerződést,Nem jóvámódosítja a szerződést,Nem igazából módosítja jóvá a szerződést,Nem igazából jóvámódosítja a szerződést,Nem igazából túl módosítja jóvá a szerződést,Nem igazából túl jóvámódosítja a szerződést
jóvá,igazítja,Nem igazítja jóvá,Nem jóváigazítja,Nem igazítja jóvá az időbeosztást,Nem jóváigazítja az időbeosztást,Nem azonnal igazítja jóvá az időbeosztást,Nem azonnal jóváigazítja az időbeosztást,Nem azonnal túl igazítja jóvá az időbeosztást,Nem azonnal túl jóváigazítja az időbeosztást
jóvá,válik,Nem válik jóvá,Nem jóváválik,Nem válik jóvá a helyzet,Nem jóváválik a helyzet,Nem mindenütt válik jóvá a helyzet,Nem mindenütt jóváválik a helyzet,Nem mindenütt túl válik jóvá a helyzet,Nem mindenütt túl jóváválik a helyzet
jóvá,lesz,Nem lesz jóvá,Nem jóválesz,Nem lesz jóvá az ügy,Nem jóválesz az ügy,Nem mindenáron lesz jóvá az ügy,Nem mindenáron jóválesz az ügy,Nem mindenáron túl lesz jóvá az ügy,Nem mindenáron túl jóválesz az ügy
jóvá,mondja,Nem mondja jóvá,Nem jóvámondja,Nem mondja jóvá a döntést,Nem jóvámondja a döntést,Nem mindig mondja jóvá a döntést,Nem mindig jóvámondja a döntést,Nem mindig túl mondja jóvá a döntést,Nem mindig túl jóvámondja a döntést
jóvá,éri,Nem éri jóvá,Nem jóváéri,Nem éri jóvá a költségeket,Nem jóváéri a költségeket,Nem azóta éri jóvá a költségeket,Nem azóta jóváéri a költségeket,Nem azóta túl éri jóvá a költségeket,Nem azóta túl jóváéri a költségeket
jóvá,szól,Nem szól jóvá,Nem jóvászól,Nem szól jóvá a kérése,Nem jóvászól a kérése,Nem holnap szól jóvá a kérése,Nem holnap jóvászól a kérése,Nem holnap túl szól jóvá a kérése,Nem holnap túl jóvászól a kérése
